time_sec,split_ratio
115.36,1.0428546130688863
115.64,1.0431095406360424
116.12,1.1213006941907198
116.58,1.1434087148372862
116.74,1.1392706615356423
116.81,1.1304030640160496
116.84,1.0552330694810905
116.92,1.1316317228805834
116.93,1.0735946089732222
117.37,1.068193832599119
117.39,1.0992489270386265
117.59,1.091232438200249
117.94,1.0911347517730496
117.94,1.0475694444444446
118.16,1.0813810110974105
118.21,1.102258580828739
118.33,1.099166223168352
118.72,1.1847626058152372
119,1.0581113801452784
119.01,1.1202565473009085
119.19,1.076842655514898
119.37,1.067012987012987
119.38,1.0487386305131285
119.43,1.1361116079413345
119.49,1.0523874957059431
119.53,1.078059805285118
119.54,1.093153563298897
119.55,1.048141168408429
119.84,1.080194410692588
120,1.0579660435602811
120.03,1.1061589752588172
120.24,1.0529281201980536
120.38,1.0708756236022707
120.4,1.0733597382469433
120.49,1.060714896528134
120.96,1.1250878425860857
120.97,1.0763817370408515
121.04,1.0394271272114575
121.61,1.0639850644942295
121.83,1.1026924404556437
121.87,1.1501411432604092
121.88,1.0518518518518518
122.29,1.1338335369045542
122.89,1.1375891459384242
123.17,1.0915265749702836
123.59,1.162554680664917
123.85,1.0874768245407045
124.42,1.1414802065404475
124.63,1.129335383563984
125.27,1.1583390764989663
126.94,1.123807930399866
128.43,1.1369384359400998
134.73,0.9862892525431226
135.5,1.0232940122442886
136.59,1.0051379917792131
136.64,1.0756493999696188
136.71,1.0181576616474757
136.71,1.0057218309859155
136.94,1.062038849570848
137.03,1.035804486703313
137.09,1.1463911069359638
137.25,1.0384672508540027
137.26,1.0834851244687311
137.48,1.0482717520858165
138.1,1.0832704782018403
138.35,1.0164699023465966
138.54,1.0764388489208632
138.89,1.1059893858984078
138.91,1.0832333533293341
139.12,1.0954963096851935
139.16,1.0525073746312685
139.51,1.0564563679245282
139.75,1.0324316463059917
140.32,1.0377577693871622
141,1.116481537075953
141.08,1.0677121500806095
141.22,1.0383949191685913
141.41,1.0841562269712604
141.54,1.0406574394463668
141.73,1.0654328184202855
141.92,1.0760678759508484
142.18,1.040177930836562
142.51,1.0767997668318274
142.51,1.1263801850193973
142.59,1.0880070288475616
142.65,1.1061567990550716
142.65,1.1152135231316724
143.06,1.123812351543943
143.09,1.0977862483506817
143.17,1.101115350748459
143.19,1.073414422241529
143.39,1.0652455710787843
143.42,1.111291034888856
143.53,1.0947168709865733
143.61,1.0800984936268827
143.64,1.0938775510204084
143.88,1.0828025477707006
143.94,1.082766603964694
143.93,1.1708898944193062
144.27,1.0812175418349683
144.46,1.122850844966936
145.03,1.0982349537037035
145.06,1.0844948986923408
145.31,1.095011534025375
146.26,1.1081003170942634
146.39,1.0993833357235048
146.79,1.12492762015055
148.9,1.154224537037037
153.61,1.1776297136376521
108.28,1.0476550680786687
108.48,1.0103780578206079
109.6,1.0281273131014064
109.71,1.0453020134228188
111.03,1.0489020114412255
111.1,1.0662079226334387
111.53,1.0669014084507042
111.64,1.0635859519408501
113.29,1.0375899280575538
113.48,1.1419403548508873
113.65,1.0451682562533742
113.64,1.109522925561537
113.76,1.1307360929012924
113.77,1.073446327683616
113.83,1.0150469109576916
113.83,1.0465659834591874
113.94,1.0983425414364643
113.98,1.0288358846564614
113.99,1.0351722906623817
114.04,1.0727008360596146
114.2,1.0583994232155731
114.39,1.0939044481054365
114.43,1.0655234657039712
114.51,1.0547281535977033
114.55,1.0418894830659537
114.63,1.1212065136935605
114.7,1.0254282182588734
114.81,1.0590028694404592
114.87,1.074589127686473
114.87,1.026998411858126
115.05,1.086128739800544
115.13,1.0409501861372097
115.15,1.0792704947634526
115.32,1.0327868852459017
115.39,1.0506486582548427
115.44,1.09548012343438
115.46,1.0803603603603604
115.65,1.0736955352339967
115.76,1.065667380442541
115.84,1.0981706212642637
116.03,1.0539918569658346
116.07,1.0660377358490567
116.3,1.0831094393695146
116.32,1.071962949768436
116.46,1.0406518310846329
116.59,1.0294168842471714
116.69,1.0964786201940353
116.83,1.1080837242872608
116.94,1.0566303200844178
117.02,1.09076290870109
117.05,1.0954171142141067
117.22,1.0761601133545873
117.41,1.0898896404414382
117.57,1.079412805093739
117.65,1.0964005702067
117.7,1.0544597661022865
117.76,1.0768959435626102
118.16,1.1137745974955278
118.32,1.1136120042872455
118.52,1.0658880948230782
118.65,1.0830407303370786
118.66,1.0784725871431073
118.91,1.1336802440337341
118.92,1.0369989722507706
119.32,1.1044091710758377
119.46,1.0859088528025143
119.49,1.0744791666666667
119.51,1.087875611460517
119.57,1.0845536959553697
119.7,1.0154908233709379
119.74,1.1080985915492958
119.89,1.0872214484679668
119.89,1.0713545266067726
120.04,1.0796950796950797
120.82,1.128236744759556
121.48,1.0937607721475353
121.64,1.1374099455280269
121.65,1.1043072132848988
122.48,1.1293463143254518
123.36,1.242909090909091
128.36,1.181879993200748
124.78,1.0362271540469974
126.48,1.037043002093735
128.52,1.05106926268752
128.87,1.023076923076923
129.27,1.0796332046332047
129.32,1.1343456015844198
129.95,1.130677160190195
130.34,1.0394304490690034
130.81,1.0629238290490461
131.21,1.0950023950183618
131.71,1.0827008222643897
131.77,1.1387761726992371
131.81,1.0650164499451669
132.65,1.0893054024255788
132.93,1.0754098360655737
133.03,1.0999210734017364
133.03,1.0834768989819892
133.14,1.051779935275081
133.27,1.084949937421777
133.47,1.1132045598480051
133.61,1.1087436868686869
133.8,1.0776397515527951
133.81,1.0765052762259468
134.03,1.0600983707347065
134.11,1.1817146575565316
134.16,1.0469942020140373
134.25,1.1632291330970028
134.26,1.0422878004259204
134.31,1.0043277122817489
134.57,1.1306206459784673
134.64,1.0490031958605999
134.72,1.105987181491324
134.72,1.107304864695761
134.88,1.1006073820277216
135.08,1.0730509515039903
135.09,1.0159677660050737
135.1,1.1020693947409368
135.52,1.076934865900383
135.61,1.0950100417117254
135.83,1.085841523341523
135.98,1.0719183300319977
136.13,1.1069493886395294
136.23,1.1124205303147774
136.39,1.0950844854070663
136.44,1.0425149700598804
136.76,1.0841206949100883
136.81,1.1025049946211771
136.97,1.0385474028873345
137.01,1.0565896127289103
137.08,1.0582582582582585
137.17,1.0980422147445703
137.18,1.0797453001819286
137.24,1.125116135026324
137.24,1.1337064676616917
137.3,1.1080915092891142
137.32,1.0437565113856229
137.65,1.1186701554563645
137.73,1.080199365654735
137.73,1.1082198071330172
137.73,1.1336948102246323
137.83,1.1388888888888888
138.44,1.0746291023527648
138.91,1.1040593759466828
139.34,1.0824988790913168
139.44,1.0630270750110962
139.64,1.184947582537944
140.06,1.1055321707757066
140.73,1.1280810524724028
141.04,1.1072762587778275
141.56,1.154970315116456
147,1.2432473676178848
148.32,1.2565038795070744
116.31,1.0487933767835123
116.32,1.0715939447907392
117.38,1.0582149745747853
118.7,1.0846505093080436
120.19,1.0779737206085753
120.62,1.041984086676824
120.69,1.045246568378241
120.87,1.032453337817387
121.7,1.0979141527322875
122.08,1.060769750168805
122.47,1.0642170908478006
122.4,1.1030927835051547
122.55,1.116214816093939
122.87,1.095684803001876
123.16,1.0465270854104354
123.19,1.0833756130559784
124.52,1.0544464609800364
124.54,1.0372975625715688
124.84,1.0890227576974565
124.93,1.0670086035737922
125.05,1.1098363421629829
125.31,1.1167229729729728
125.33,1.084317312489606
125.36,1.0998324958123953
125.46,1.0268174474959613
125.65,1.054783319705642
127.15,1.1624149659863945
127.16,1.0754039497307002
127.28,1.0662337662337664
127.31,1.110576923076923
127.59,1.0773363725170955
128.06,1.0483045425463853
128.3,1.0888961250407032
128.75,1.0689378113450105
128.8,1.093287827076223
129.04,1.056414342629482
129.53,1.0781325204556393
129.62,1.1083279115159401
129.81,1.0604761904761906
130.08,1.053030303030303
130.08,1.1021331609566904
131.35,1.0938944683564484
131.49,1.1177323240457402
132.22,1.0822047244094488
132.84,1.1025641025641024
133.13,1.1376043673731533
133.69,1.1862632869991825
135.17,1.2043378995433789
143,1.1029411764705883
161,1.1466666666666667
138,1.0597014925373134
126,1.032258064516129
141,1.1363636363636365
141,1.0735294117647058
155,1.0945945945945945
168,1.1265822784810127
124,1.1016949152542372
138,1.123076923076923
126,1.1
134,1.0615384615384615
140,1.0289855072463767
142,1.088235294117647
141,1.2741935483870968
141,1.1044776119402986
139,1.171875
149,1.1594202898550725
143,1.2
142,1.1846153846153846
137,1.044776119402985
133,1.1451612903225807
132,1.0625
134,1.126984126984127
140,1.121212121212121
130,1.03125
136,1.0923076923076922
131,1.046875
132,1.1290322580645162
134,1.1612903225806452
135,1.0769230769230769
133,1.1111111111111112
129,1.0806451612903225
131,1.046875
132,1.1639344262295082
133,1.1451612903225807
134,1.0615384615384615
132,1.2
133,1.180327868852459
132,1.2
135,1.2131147540983607
129,1.1147540983606556
128,1.064516129032258
130,1.096774193548387
132,1.1290322580645162
135,1.1774193548387097
123,1.1206896551724137
135,1.2131147540983607
148,1.208955223880597
138,1.15625
135,1.1428571428571428
139,1.1384615384615384
144,1.0869565217391304
146,1.0857142857142856
143,1.1343283582089552
137,1.1746031746031746
158,1.1944444444444444
163,0.9878048780487805
161,1.118421052631579
155,1.1830985915492958
132,1.1639344262295082
144,1.1818181818181819
139,1.278688524590164
139,1.1384615384615384
138,1.1904761904761905
146,1.1470588235294117
143,1.1343283582089552
135,1.2131147540983607
149,1.2238805970149254
147,1.1304347826086956
149,1.2238805970149254
149,1.1911764705882353
131,1.0793650793650793
129,1.0806451612903225
132,1.1290322580645162
125,1.1551724137931034
131,1.0793650793650793
132,1.1639344262295082
133,1.1451612903225807
131,1.1475409836065573
139,1.171875
130,1.1666666666666667
134,1.1612903225806452
138,1.123076923076923
134,1.1612903225806452
141,1.1692307692307693
138,1.123076923076923
144,1.0869565217391304
154,1.3692307692307693
142,1
150,1.173913043478261
151,1.1884057971014492
153,1.013157894736842
173,1.2179487179487178
166,1.1282051282051282
165,1.2602739726027397
144,1.1176470588235294
148,1.0273972602739727
141,1.0142857142857142
143,0.9861111111111112
143,0.958904109589041
148,1.0273972602739727
143,1.042857142857143
138,1.0597014925373134
138,1.0294117647058822
163,1.0375
135,1.109375
130,1.1311475409836065
131,1.0153846153846153
134,1.126984126984127
163,1.1733333333333333
156,1.1666666666666667
154,1.1388888888888888
154,1.1095890410958904
129,1.0806451612903225
135,1.0769230769230769
130,1.1311475409836065
128,1.064516129032258
128,1.1333333333333333
141,1.1363636363636365
131,1.1475409836065573
132,1.1290322580645162
135,1.0454545454545454
159,1.2083333333333333
157,1.1216216216216217
146,1.0857142857142856
137,1.044776119402985
154,1.0533333333333332
138,1.123076923076923
145,1.0714285714285714
145,1.164179104477612
138,1.0294117647058822
139,1.106060606060606
128,1.098360655737705
127,1.1166666666666667
130,1.1311475409836065
126,1.1355932203389831
129,1.1147540983606556
132,1.0952380952380953
131,1.1475409836065573
132,1.2
130,1.1311475409836065
126,1.0655737704918034
139,1.171875
144,1.1492537313432836
146,1
147,1.161764705882353
140,1.121212121212121
141,1.0735294117647058
142,1.1846153846153846
146,1.2121212121212122
133,1.1111111111111112
131,0.9552238805970149
139,1.1384615384615384
136,1.125
135,1.109375
144,1.1176470588235294
134,1.09375
131,1.0793650793650793
131,1.0793650793650793
129,1.1147540983606556
170,1.125
179,1.1058823529411765
174,1.0963855421686748
135,1.0769230769230769
137,1.0757575757575757
130,1.1311475409836065
130,1.0634920634920635
137,1.1746031746031746
134,1.0615384615384615
134,1.0615384615384615
135,1.1428571428571428
133,1.078125
133,1.078125
135,1.109375
133,1.1111111111111112
133,1.2166666666666666
146,1.0277777777777777
139,1.1384615384615384
145,1.0422535211267605
145,1.0714285714285714
136,1.125
131,1.0793650793650793
126,1.1355932203389831
126,1.1
130,1.1666666666666667
130,1.096774193548387
128,1.098360655737705
143,1.1666666666666667
147,1.161764705882353
147,1.0704225352112675
133,1.0151515151515151
141,1.1363636363636365
139,1.0746268656716418
129,1.0806451612903225
124,1.0666666666666667
131,1.1833333333333333
129,1.1147540983606556
129,1.1147540983606556
125,1.0491803278688525
133,1.0461538461538462
137,1.140625
126,1.1
130,1.1666666666666667
128,1.064516129032258
128,1.098360655737705
138,1.0597014925373134
130,1.2033898305084745
128,1.064516129032258
137,1.2459016393442623
139,1.1384615384615384
128,1.1333333333333333
130,1.1666666666666667
125,1.0833333333333333
126,1.1724137931034482
128,1.2456140350877194
122,1.103448275862069
123,1.1206896551724137
125,1.0833333333333333
127,1.0819672131147542
127,1.1166666666666667
129,1.015625
134,1.09375
130,1.0634920634920635
134,1.0303030303030303
131,1.1129032258064515
131,1.1129032258064515
130,1.1666666666666667
138,1.123076923076923
134,1.1612903225806452
127,1.0819672131147542
132,1.0625
136,1.125
135,1.1428571428571428
144,1.1492537313432836
137,1.1746031746031746
127,1.0158730158730158
134,1.0615384615384615
129,1.0476190476190477
127,1.0158730158730158
133,1.1111111111111112
135,1.0769230769230769
132,1.0952380952380953
132,1.0625
136,1.125
137,1.140625
125,1.0161290322580645
133,1.0151515151515151
130,1.096774193548387
127,1.0819672131147542
126,1.0655737704918034
144,1.0869565217391304
129,1.0806451612903225
133,1.1451612903225807
135,1.0769230769230769
137,1.3220338983050848
127,1.0158730158730158
135,1.0454545454545454
129,1.0806451612903225
126,1.032258064516129
130,1.096774193548387
137,1.1076923076923078
153,1.2173913043478262
151,1.0972222222222223
141,1.1363636363636365
137,1.1076923076923078
127,1.0819672131147542
124,1.1754385964912282
133,1.180327868852459
125,1.0833333333333333
141,1.1044776119402986
140,1.0289855072463767
150,1.1126760563380282
171,1.1111111111111112
125,0.9841269841269841
130,1.0634920634920635
126,1.0655737704918034
130,1.0634920634920635
125,1.0161290322580645
145,1.0422535211267605
150,1.0833333333333333
147,1.1
153,1.1549295774647887
160,1.1917808219178083
123,1.0163934426229508
131,1.1129032258064515
123,1.05
131,1.1475409836065573
126,1.0655737704918034
124,1.1016949152542372
121,1.0166666666666666
131,1.1475409836065573
124,1.0666666666666667
127,1.0483870967741935
120,1.105263157894737
131,1.0793650793650793
137,1.140625
131,1.0793650793650793
135,0.9852941176470589
140,1.1875
137,1.2459016393442623
140,1.1538461538461537
140,1.1875
141,1.1692307692307693
143,1.234375
141,1.203125
131,1.0793650793650793
131,1.0793650793650793
124,1.1016949152542372
127,1.0819672131147542
129,1.0476190476190477
132,1.0952380952380953
126,1.0655737704918034
125,1.0161290322580645
126,1.032258064516129
125,1.0161290322580645
132,1.0307692307692307
137,1.0757575757575757
128,1.064516129032258
130,1.0634920634920635
128,1.098360655737705
130,1.0634920634920635
134,1.1967213114754098
124,1.1016949152542372
131,0.9552238805970149
121,1.1228070175438596
125,1.11864406779661
129,1.15
128,1.098360655737705
126,1.1724137931034482
124,1.0666666666666667
125,1.0491803278688525
131,1.1833333333333333
121,1.0166666666666666
124,1.0327868852459017
121,1.1228070175438596
121,1.0862068965517242
128,1.1333333333333333
125,1.0833333333333333
130,1.0634920634920635
130,1
120,1.0338983050847457
121,1.0862068965517242
123,1.0847457627118644
126,1.1
120,1.0338983050847457
123,1.0847457627118644
121,1.0508474576271187
124,1.0666666666666667
120,1.0689655172413792
123,1.05
118,1.0701754385964912
121,1.0862068965517242
119,1.087719298245614
128,1.1333333333333333
128,1.1333333333333333
125,1.11864406779661
135,0.9852941176470589
125,1.0491803278688525
126,1.032258064516129
133,1.0461538461538462
137,1.0757575757575757
129,1.1147540983606556
126,1.1355932203389831
125,1.11864406779661
127,1.1166666666666667
123,0.9838709677419355
131,1.0793650793650793
124,1
129,1.0476190476190477
129,1.1147540983606556
127,1.1166666666666667
122,1.0677966101694916
124,1.0666666666666667
137,1.1076923076923078
130,1.096774193548387
130,1.03125
130,1.096774193548387
126,1.1
123,1.1206896551724137
123,1.0163934426229508
125,1.0833333333333333
125,1.11864406779661
125,1.0833333333333333
125,1.0833333333333333
124,1.1016949152542372
124,1.0666666666666667
132,1.1290322580645162
132,1.0307692307692307
129,1.0806451612903225
125,1.11864406779661
126,1.1
129,1.1147540983606556
123,1.05
126,1.0655737704918034
125,1.11864406779661
128,1.0317460317460319
124,1
140,1.0895522388059702
162,1
120,1.0689655172413792
127,1.0158730158730158
124,1.1016949152542372
125,1.1551724137931034
123,1.1206896551724137
121,1.0508474576271187
119,0.9833333333333333
122,1.0677966101694916
123,1.1206896551724137
121,1.0862068965517242
125,1.11864406779661
121,1.0862068965517242
124,1.0666666666666667
133,1.1111111111111112
131,1.1129032258064515
136,1.0606060606060606
136,1.125
138,1.0597014925373134
140,1
144,1.0571428571428572
139,1.0144927536231885
140,1.0289855072463767
145,1.0138888888888888
144,1.028169014084507
149,1.0410958904109588
152,1.1408450704225352
158,0.975
171,1.1375
134,1.126984126984127
141,1.1692307692307693
138,1.0294117647058822
136,1.125
119,1.0169491525423728
137,0.9571428571428572
135,1.109375
138,1.0909090909090908
140,1.0289855072463767
141,1.1363636363636365
132,1.0307692307692307
144,1.1818181818181819
132,1.0625
134,1.0615384615384615
133,1.1111111111111112
141,1.0735294117647058
149,1.0985915492957747
149,0.9866666666666667
142,1.0579710144927537
132,1.0625
135,1.0454545454545454
129,1.15
135,1.1774193548387097
132,1.0307692307692307
130,1.03125
129,1.0476190476190477
137,1.0757575757575757
141,1.1692307692307693
136,1.0606060606060606
162,1.2816901408450705
138,1.0294117647058822
120,1.0689655172413792
132,1.0625
131,1.0793650793650793
138,1.123076923076923
139,1.0144927536231885
132,1.0307692307692307
135,1.0454545454545454
127,1.0158730158730158
128,1.098360655737705
130,1.0634920634920635
134,1
127,1.0483870967741935
142,1.2903225806451613
132,1.0952380952380953
128,1
140,1.0895522388059702
140,1.1538461538461537
140,1.0895522388059702
136,1.0923076923076922
133,1.0151515151515151
139,1.0441176470588236
140,1.1875
150,1.0547945205479452
125,1.1929824561403508
128,1.064516129032258
139,1.0746268656716418
124,1.0327868852459017
122,1.0677966101694916
130,1.1311475409836065
139,1.0746268656716418
134,1.1967213114754098
126,1.032258064516129
133,1.0151515151515151
124,1.0666666666666667
138,1.0294117647058822
143,1.2
130,1
133,1.0461538461538462
128,1.1694915254237288
126,1.032258064516129
134,1.0303030303030303
153,1.25
156,1.2608695652173914
153,1.095890410958904
169,1.0864197530864197
170,1.0731707317073171
188,1.065934065934066
144,1.1492537313432836
140,1.1875
149,1.1911764705882353
131,1.046875
126,1.0655737704918034
131,1.046875
147,1.161764705882353
124,1.0666666666666667
